date;IMOEX
08.12.2015;1718,77
09.12.2015;1733,09
10.12.2015;1732,89
11.12.2015;1720,31
14.12.2015;1708,7
15.12.2015;1742,46
16.12.2015;1754,71
17.12.2015;1780,97
18.12.2015;1719,16
21.12.2015;1716,91
22.12.2015;1723,35
23.12.2015;1747,85
24.12.2015;1742,71
25.12.2015;1734,21
28.12.2015;1731,2
29.12.2015;1763,38
30.12.2015;1761,36
04.01.2016;1734,56
05.01.2016;1754,13
06.01.2016;1748,57
11.01.2016;1682,54
12.01.2016;1690,3
13.01.2016;1684,78
14.01.2016;1680,77
15.01.2016;1608,36
18.01.2016;1622,43
19.01.2016;1645,56
20.01.2016;1630,39
21.01.2016;1677,19
22.01.2016;1717,98
25.01.2016;1716,56
26.01.2016;1705,01
27.01.2016;1747,57
28.01.2016;1771,93
29.01.2016;1784,92
01.02.2016;1773,21
02.02.2016;1758,26
03.02.2016;1746,35
04.02.2016;1787,93
05.02.2016;1780,59
08.02.2016;1744,27
09.02.2016;1723,36
10.02.2016;1730,83
11.02.2016;1711,58
12.02.2016;1726,04
15.02.2016;1738,54
16.02.2016;1753,86
17.02.2016;1770,31
18.02.2016;1807,21
19.02.2016;1793,37
20.02.2016;1790,15
22.02.2016;1822,38
24.02.2016;1797,27
25.02.2016;1803,89
26.02.2016;1816,73
29.02.2016;1840,17
01.03.2016;1844,17
02.03.2016;1832,84
03.03.2016;1858,69
04.03.2016;1878,29
07.03.2016;1909,57
09.03.2016;1883
10.03.2016;1884,63
11.03.2016;1876,54
14.03.2016;1865,31
15.03.2016;1855,06
16.03.2016;1871,2
17.03.2016;1890,79
18.03.2016;1914,02
21.03.2016;1904,5
22.03.2016;1903,47
23.03.2016;1879,89
24.03.2016;1866,67
25.03.2016;1866,23
28.03.2016;1849,31
29.03.2016;1845,2
30.03.2016;1868,1
31.03.2016;1871,15
01.04.2016;1856,77
04.04.2016;1866,64
05.04.2016;1857,09
06.04.2016;1860,17
07.04.2016;1858,85
08.04.2016;1877,27
11.04.2016;1906,9
12.04.2016;1899,26
13.04.2016;1932,8
14.04.2016;1915,85
15.04.2016;1907,78
18.04.2016;1892,64
19.04.2016;1930,14
20.04.2016;1960,18
21.04.2016;1950,08
22.04.2016;1967,26
