date; SBER ; SBERP ; GAZP ; LKOH ; ROSN ; NVTK ; TATN ; TATNP ; SNGS ; SNGSP ; GMKN ; CHMF ; NLMK ; MAGN ; MTSS ; AFLT ; VTBR ; MOEX ; PLZL ; ALRS ; MGNT ; PHOR ; AKRN ; FEES ; HYDR ; IRAO ; BSPB ; TRNFP ;SIBN;LSRG
05.01.2015;56,37;38,59;133,95;2295;196,75;455,5;238;134,7; 24,24 ; 29,60 ;8590;522;66,285; 11,28 ;174,7; 33,21 ; 0,07 ;60,4;1000,5;60,38;9877;1784;1830;0,04713; 0,57 ;; 24,60 ;130100;142;473
06.01.2015;58,28;39,5;138,92;2345;200,3;476,7;228,75;135,3; 25,02 ; 30,20 ;9101;556,9;66,7; 11,55 ;179,9; 33,07 ; 0,07 ;61,9;1047;61,28;10400;1855;1870;0,0485; 0,57 ;; 25,60 ;142990;144,6;473
08.01.2015;65,7;43,75;146,46;2572;214,95;483;245;136; 26,27 ; 31,60 ;9550;542,7;67,41; 12,35 ;190,05; 35,17 ; 0,07 ;61,9;1060;60,2;10627;1776;1906;0,0503; 0,58 ;; 26,50 ;130000;148,1;480
09.01.2015;63,1;42,9;141,7;2461;206,6;475,1;234,05;134,5; 25,65 ; 32,01 ;9740;548,55;67,9; 12,10 ;195; 34,00 ; 0,07 ;60,14;1050;61,91;10542;1798;1856;0,04897; 0,55 ;; 26,15 ;120820;146,6;489
12.01.2015;62,9;42,41;140,22;2477;204;470,7;228,25;133,3; 25,45 ; 31,36 ;9839;558,45;70,12; 11,89 ;193; 34,45 ; 0,06 ;59,59;1020;63;10689;1795;1867;0,04955; 0,55 ;; 25,70 ;128000;143,1;484
13.01.2015;60,31;40,82;142,64;2522;204,9;489,4;234,7;133,8; 25,60 ; 32,30 ;10025;583;72,505; 12,38 ;204,5; 35,00 ; 0,06 ;58,51;1035,5;66,4;11180;1843;1900;0,05003; 0,54 ;; 25,55 ;130990;143,8;468
14.01.2015;60,05;41,5;146,3;2588;209,5;497,9;244,55;132,2; 25,84 ; 32,70 ;9600;595;72,35; 12,55 ;210,2; 36,55 ; 0,06 ;61,22;1024;71,7;11450;1867;1925;0,05226; 0,55 ;; 25,40 ;131910;142,9;454
15.01.2015;61,8;41,7;147;2618,9;219,9;483,2;251,3;137,5; 25,99 ; 32,82 ;9290;577;75,18; 12,28 ;216,5; 36,65 ; 0,06 ;61,8;1045;68,6;11304;1890;1998;0,051; 0,55 ;; 24,90 ;130000;142,6;467
16.01.2015;61,99;42,03;149,6;2736;226;490;260;137,3; 26,15 ; 34,25 ;9561;587,9;75,7; 12,15 ;215,8; 36,05 ; 0,07 ;62,5;1076;69,55;11350;1955;2061;0,05195; 0,55 ;; 24,85 ;130980;144;463
19.01.2015;61,8;42,09;148,11;2640;225,3;487;261;136,7; 26,30 ; 34,90 ;9417;589;75,43; 12,24 ;215; 36,34 ; 0,06 ;63,45;1090;69,7;11235;2008;2125;0,05097; 0,54 ;; 24,75 ;129790;146,7;447
20.01.2015;60,8;42,24;145,75;2628,7;227;475;257;137,4; 26,60 ; 36,40 ;9470;586,9;76,85; 12,37 ;214,15; 37,20 ; 0,06 ;62;1119;71;11395;2054;2130;0,05195; 0,54 ; 0,76 ; 24,60 ;130900;150,1;447
21.01.2015;62,8;43,29;148,8;2752;234,6;490,4;275;140,9; 28,38 ; 36,80 ;9675;592;76,47; 12,41 ;222,95; 38,10 ; 0,06 ;64,5;1120;76,5;11855;2080;2159;0,05238; 0,56 ; 0,78 ; 25,80 ;130900;154,3;443
22.01.2015;64,35;44,8;151,5;2820;241,8;523,7;287,3;150,9; 29,95 ; 38,10 ;10386;599,5;79,895; 12,80 ;227; 39,55 ; 0,06 ;68;1119;77,5;12070;2111;2250;0,05263; 0,57 ; 0,79 ; 26,45 ;132500;155,5;460
23.01.2015;64,45;45,94;152,83;2849;243,9;512;297,95;151,8; 29,48 ; 39,43 ;10400;587;79,505; 12,90 ;228; 40,15 ; 0,06 ;69,11;1070;76;11750;2114;2258;0,052; 0,56 ; 0,79 ; 26,25 ;131970;153,8;485
26.01.2015;60,49;42,88;148;2864,9;237,25;504;285,65;150; 28,56 ; 38,93 ;10755;616,15;82,845; 12,81 ;214,25; 38,26 ; 0,06 ;66,6;1051;73,45;11540;2139;2231;0,0505; 0,54 ; 0,74 ; 25,05 ;126630;151,3;476
27.01.2015;61,2;43,8;150,9;2925,1;239;505,5;297,9;148; 30,34 ; 41,42 ;11179;632,5;86,695; 13,30 ;215,55; 38,00 ; 0,06 ;67,84;1040;77,9;11270;2177;2280;0,05035; 0,55 ; 0,73 ; 25,50 ;133500;152,5;473
28.01.2015;60,63;43,15;147,7;2865,2;231,5;488;289;154,2; 29,10 ; 40,35 ;11534;630,85;86,11; 13,05 ;214; 38,11 ; 0,07 ;68;1055;75,3;10200;2245;2315;0,05072; 0,54 ; 0,73 ; 26,00 ;135300;151,7;486
29.01.2015;60,5;43,39;145;2845,2;226,55;480,4;280,1;155,2; 29,13 ; 40,75 ;11450;634,2;89,155; 13,10 ;219,55; 37,30 ; 0,07 ;69,3;1055;76,3;10550;2269;2325;0,04941; 0,51 ; 0,71 ; 25,50 ;132740;152,9;494
30.01.2015;61,5;43,84;143,82;2789,9;229,35;460;270,15;157,7; 31,10 ; 41,60 ;11610;642,35;91,995; 13,13 ;217,85; 38,25 ; 0,07 ;70;1049,5;78,49;10590;2291;2378;0,04982; 0,53 ; 0,72 ; 26,10 ;141900;156,9;471
02.02.2015;61,4;42,7;138,18;2750,1;230,55;472;285;161; 31,70 ; 41,90 ;11280;645,9;88,5; 13,16 ;227,3; 37,34 ; 0,07 ;69,66;1046,5;76,1;10190;2260;2341;0,04913; 0,51 ; 0,72 ; 25,50 ;137650;155,9;468
03.02.2015;62;43,23;140,35;2851,5;238,35;482,3;294;163,4; 32,99 ; 42,85 ;10990;632;88,5; 13,72 ;233,05; 37,55 ; 0,07 ;73,5;1054;82;10400;2226;2288;0,04889; 0,52 ; 0,72 ; 25,25 ;139400;156,9;467
04.02.2015;61,04;42,51;142,6;2910;239;478,5;301;164,9; 32,20 ; 41,90 ;10750;656;89,305; 13,69 ;232; 37,09 ; 0,07 ;73,3;1052;78,2;10340;2238;2281;0,04953; 0,52 ; 0,72 ; 25,15 ;133810;159,2;477
05.02.2015;62,41;43,5;147,6;2996;251;500,2;319,35;171,5; 34,10 ; 42,61 ;11100;663,4;88,495; 13,64 ;235,5; 37,75 ; 0,07 ;72;1061;77,42;10235;2226;2278;0,05004; 0,52 ; 0,74 ; 25,30 ;136110;158,5;478
06.02.2015;64,31;44,7;151,6;3120,1;261;522,2;335,5;181,8; 35,50 ; 43,67 ;11394;701,2;91,045; 13,77 ;240,8; 38,00 ; 0,07 ;74,8;1060;79;11075;2247;2306;0,0524; 0,53 ; 0,75 ; 25,20 ;141950;160,3;481
09.02.2015;65,57;45,6;149,3;3016;257;527,5;324;184; 35,85 ; 43,70 ;11352;696;89,83; 14,13 ;240,6; 37,60 ; 0,07 ;74,2;1069;78,45;11440;2242;2320;0,05404; 0,53 ; 0,79 ; 24,95 ;139000;166;520
10.02.2015;65;45,28;149,31;3000;257,05;520;320,55;183,8; 36,60 ; 44,40 ;11345;688;89,15; 14,22 ;230,05; 37,83 ; 0,07 ;71,26;1063;76,16;11490;2240;2328;0,05389; 0,53 ; 0,81 ; 25,15 ;136000;171;549
11.02.2015;65,12;45,93;150,55;3069,1;265,35;530,9;320,5;183,7; 36,80 ; 43,82 ;11697;695;88,6; 14,50 ;237,95; 38,00 ; 0,07 ;70,5;1136;77,15;11500;2319;2464;0,05471; 0,53 ; 0,88 ; 25,50 ;140020;176;561
12.02.2015;67,21;48,68;157,7;3120;274,05;539,5;340;185,9; 36,50 ; 42,31 ;12037;713;88,79; 14,12 ;250,95; 39,39 ; 0,07 ;72,5;1100,5;73,6;11855;2298;2453;0,05795; 0,54 ; 0,90 ; 26,45 ;138500;189;571
13.02.2015;70,6;52,77;162,4;3135;290,2;543,8;353;185; 36,60 ; 41,51 ;12106;711,5;89,2; 14,01 ;257,35; 40,40 ; 0,07 ;72,5;1112;73,35;12250;2209;2477;0,0677; 0,61 ; 0,90 ; 28,75 ;139990;190,5;568
16.02.2015;70;52,7;160,19;3020;279,7;524,6;335;176,8; 35,54 ; 41,30 ;11900;685;85,5; 13,90 ;252,3; 40,41 ; 0,07 ;74,88;1150;72,5;11920;2177;2451;0,06853; 0,61 ; 0,89 ; 29,55 ;143010;181,5;580
17.02.2015;72,45;53;159,2;3010;275,95;522,7;338,6;173,4; 35,19 ; 41,46 ;11375;698,6;85,555; 14,58 ;252; 40,15 ; 0,07 ;75,45;1130,5;72,4;11820;2218;2480;0,0643; 0,57 ; 0,89 ; 30,25 ;145400;181,1;569
18.02.2015;76,4;55,5;163;3000;281,45;527,5;335,15;177,5; 35,10 ; 40,40 ;11140;702;85,65; 14,53 ;250,35; 40,98 ; 0,07 ;78,4;1118,5;73,48;11766;2190;2564;0,06813; 0,60 ; 0,90 ; 31,15 ;145820;180,8;579
19.02.2015;73,78;53,19;160,9;2994,8;275,75;529,2;343,3;179,4; 34,85 ; 40,16 ;11355;706;85,885; 14,40 ;257; 39,93 ; 0,07 ;76,75;1110;75;11800;2123;2450;0,0652; 0,59 ; 0,86 ; 31,50 ;144850;175,5;571
20.02.2015;74,75;54,09;158;2990;274;518,1;345,8;178; 34,34 ; 40,35 ;11330;704,9;85,9; 14,52 ;252,5; 40,00 ; 0,07 ;75,69;1096;75,7;11796;2128;2530;0,068; 0,63 ; 0,88 ; 32,40 ;146400;172,4;572
24.02.2015;73,7;52,67;154,99;3001;268,65;518,3;340;181,3; 34,20 ; 39,46 ;11348;698,1;84,58; 14,47 ;250,3; 39,60 ; 0,06 ;76,5;1100;73,87;11687;2127;2496;0,0665; 0,60 ; 0,86 ; 32,00 ;143300;166,6;582
25.02.2015;74,2;52,36;150,7;2933,4;263,45;506,7;326,6;174; 33,58 ; 38,65 ;11061;689;83,03; 14,23 ;248,6; 38,99 ; 0,07 ;76,6;1105;73;11510;2070;2485;0,07165; 0,60 ; 0,86 ; 31,30 ;138290;166,5;589
26.02.2015;75,95;54,45;151,65;2935;263,85;499,3;327,55;170,9; 34,72 ; 39,66 ;11093;684;81,695; 14,26 ;253,5; 39,50 ; 0,07 ;77,45;1111,5;70,12;11574;2090;2475;0,07621; 0,65 ; 0,92 ; 32,45 ;137000;168,4;592
27.02.2015;75,91;53,7;152,95;2981,2;265,85;503,7;316;168,6; 34,20 ; 38,69 ;11182;682;81,1; 14,60 ;249; 39,19 ; 0,07 ;76,9;1110;68,5;11305;2109;2435;0,07535; 0,64 ; 0,92 ; 33,25 ;138000;172,6;589
02.03.2015;76,2;54,1;155,5;3027,2;269,7;512,2;330,95;169,8; 36,50 ; 41,01 ;11269;707,6;82,7; 14,93 ;247,55; 39,50 ; 0,07 ;76,01;1130;68,95;11367;2141;2475;0,07452; 0,65 ; 0,93 ; 34,30 ;136630;171,9;584
03.03.2015;75,55;54,15;159;3009,5;277;522;333,55;176; 36,82 ; 42,33 ;11480;738,45;84,94; 15,90 ;257,25; 39,89 ; 0,07 ;74,88;1138;72,05;11650;2199;2481;0,0757; 0,64 ; 0,93 ; 35,60 ;140240;175,1;600
04.03.2015;72,31;52,91;154;2955;264,95;512,7;319;175,9; 35,90 ; 41,30 ;11140;730;81,75; 15,73 ;252; 38,55 ; 0,07 ;70,67;1134,5;73,95;11100;2190;2486;0,07777; 0,63 ; 0,96 ; 35,65 ;136970;172;590
05.03.2015;72,7;53,5;154,8;2915;269,6;512,4;313,4;171; 35,90 ; 42,45 ;11180;730,05;82,15; 15,90 ;247,5; 38,47 ; 0,07 ;70;1138,5;74,41;11360;2153;2580;0,07755; 0,63 ; 0,97 ; 34,70 ;135000;172,6;592
06.03.2015;73,25;53,36;152,12;2800;263,5;498,7;298,2;163,9; 35,09 ; 41,23 ;10990;721;81,6; 15,98 ;244,5; 38,96 ; 0,06 ;69;1125,5;74,5;11347;2101;2512;0,07555; 0,62 ; 0,97 ; 34,85 ;135900;171,2;619
10.03.2015;69,8;50,77;148,05;2699;253;485;283,65;160,5; 33,75 ; 39,45 ;10425;710,35;77,6; 15,05 ;234,5; 36,65 ; 0,06 ;65;1116,5;74,55;10820;2117;2465;0,06999; 0,59 ; 0,95 ; 31,55 ;136400;163,8;617
11.03.2015;70,68;50,45;145,99;2726,9;251,45;482;285,9;162,1; 34,10 ; 40,00 ;10588;734,5;80,005; 15,50 ;234; 36,65 ; 0,06 ;67,9;1118;75;10835;2109;2451;0,0743; 0,58 ; 0,95 ; 32,15 ;136800;161,9;616
12.03.2015;70,79;49,95;144,7;2733,9;247,7;471,8;284,85;164,9; 34,40 ; 40,50 ;10730;710;77,93; 15,49 ;232,35; 38,45 ; 0,06 ;69,2;1125,5;75;10600;2105;2490;0,07889; 0,59 ; 0,93 ; 32,85 ;131500;159,6;616
13.03.2015;67,87;48,6;141,8;2659;241,3;461,7;277,95;162,8; 33,99 ; 40,16 ;10380;708,1;77,8; 15,56 ;230,3; 37,18 ; 0,06 ;67,3;1116;76,12;10350;2051;2445;0,0763; 0,57 ; 0,91 ; 32,95 ;132620;156,7;615
16.03.2015;65,57;46,91;139,75;2666;236,7;466;272;156,4; 33,03 ; 39,80 ;10298;708,6;76,875; 15,38 ;222,7; 36,50 ; 0,06 ;67,26;1065;79,61;10350;2005;2402;0,07334; 0,54 ; 0,88 ; 32,30 ;133910;157;617
17.03.2015;64,65;46,27;139,7;2689;237;460;271,45;156,5; 33,45 ; 39,88 ;10595;692,8;77; 15,32 ;220,4; 35,01 ; 0,06 ;66,5;1000;82,8;10360;2035;2340;0,0782; 0,54 ; 0,92 ; 31,35 ;132150;156,1;624
18.03.2015;65,26;47;140,25;2735;243,4;464;281,45;165; 34,11 ; 40,21 ;10692;690;77,435; 15,07 ;227,3; 35,10 ; 0,06 ;67,7;998;79,5;10699;2105;2375;0,07458; 0,54 ; 0,90 ; 31,25 ;132770;157,6;640
19.03.2015;64,9;46,55;136,81;2689,8;237,05;447;288,45;163; 34,50 ; 39,70 ;10410;680,75;77,455; 14,46 ;227; 35,00 ; 0,06 ;66,99;1045;77;10500;2083;2296;0,0723; 0,54 ; 0,91 ; 31,05 ;128650;159,4;652
20.03.2015;67;47,51;136;2710;239,3;453;294,25;164,7; 35,23 ; 42,60 ;10501;683;78,015; 14,02 ;238,95; 33,50 ; 0,06 ;65,8;1042,5;78;10900;2110;2300;0,06728; 0,55 ; 0,84 ; 31,15 ;124000;159,7;668
23.03.2015;65;46,1;134,61;2679,9;239,95;434,8;282,5;164; 34,60 ; 42,59 ;10420;674,5;75,65; 14,39 ;238,75; 34,00 ; 0,06 ;65,98;1008;74,9;10550;2018;2196;0,06294; 0,52 ; 0,86 ; 31,50 ;126430;157,8;671
24.03.2015;65,6;45,71;137,15;2709,7;244;429,4;281;164,5; 35,85 ; 42,61 ;10330;661,7;75,98; 14,00 ;246; 34,24 ; 0,06 ;69;1013;75,5;10798;2000;2258;0,06669; 0,52 ; 0,88 ; 31,80 ;124650;155,9;703
25.03.2015;64,8;45,8;134,9;2697,3;242,7;430,3;277,5;165,1; 36,36 ; 42,60 ;10500;658,15;73,76; 13,70 ;249,65; 33,60 ; 0,06 ;69,25;1001,5;73,6;11000;2041;2258;0,0652; 0,52 ; 0,88 ; 32,35 ;124900;155,6;676
26.03.2015;62,85;44,65;132,2;2623;237,1;418;269,5;160,6; 34,73 ; 41,62 ;10310;636,9;72,675; 13,30 ;242,75; 32,50 ; 0,06 ;69,43;1002;70,2;11140;2011;2224;0,06313; 0,51 ; 0,89 ; 31,50 ;123800;154,9;650
27.03.2015;61;44,15;134,88;2577;237,25;416,5;267;160,3; 35,10 ; 41,70 ;9905;642,8;73,11; 14,00 ;243; 32,70 ; 0,06 ;66,65;1066;70,23;11038;2011;2193;0,061; 0,51 ; 0,93 ; 31,80 ;124180;155,7;661
30.03.2015;63,01;46,03;137;2657;247,5;432;278,9;168,8; 35,69 ; 43,25 ;10530;657;76,6; 14,00 ;246,3; 34,04 ; 0,06 ;68,99;1028;71,31;11185;2057;2239;0,0623; 0,52 ; 1,05 ; 32,00 ;123990;157,7;664
31.03.2015;62,88;45,63;138,9;2705;252,15;432;287;165,7; 35,10 ; 44,50 ;10399;658;77,615; 14,99 ;247; 34,00 ; 0,06 ;69;1016,5;72;11350;2011;2267;0,06588; 0,53 ; 1,10 ; 31,55 ;124500;159,5;665
01.04.2015;64,5;47,3;143;2755;261,35;450,3;300,1;169,6; 35,99 ; 45,35 ;10539;644,5;77,01; 15,15 ;250,9; 36,14 ; 0,06 ;70,26;1028;73;11750;2042;2300;0,068; 0,54 ; 1,12 ; 31,75 ;126210;158,8;653
02.04.2015;65,92;48,9;143,9;2780,5;262,55;467,2;301,5;166,8; 37,00 ; 47,50 ;10090;643;76,74; 14,80 ;250; 35,76 ; 0,06 ;75,49;1011;73,61;11971;2014;2341;0,0692; 0,54 ; 1,10 ; 31,65 ;133000;157,6;657
03.04.2015;65,5;48,86;143,94;2824,8;263,7;476,4;299;165,9; 36,69 ; 46,85 ;10237;641,05;77,83; 14,73 ;248,6; 35,76 ; 0,06 ;74,75;1013;72,41;11799;2002;2325;0,069; 0,56 ; 1,11 ; 32,20 ;129070;159,1;650
06.04.2015;68,99;50,62;145,7;2823,3;266,15;478;307,45;166,6; 37,33 ; 46,50 ;10200;638,2;76,89; 14,70 ;253,9; 36,50 ; 0,06 ;76,49;1016,5;72,82;11900;2020;2305;0,07134; 0,57 ; 1,17 ; 32,55 ;127600;160;654
07.04.2015;69,6;51,35;146,2;2790;264,1;474,4;305,5;164; 37,39 ; 46,00 ;10125;636,9;74,69; 15,10 ;255; 36,60 ; 0,06 ;77,01;1027,5;70,99;12020;1995;2253;0,0706; 0,56 ; 1,18 ; 32,35 ;128570;157,8;670
08.04.2015;69,4;50,7;147,27;2755;263,7;470,6;303;167,4; 36,70 ; 45,90 ;9986;620;72,39; 15,26 ;253; 35,75 ; 0,06 ;75,2;1022;69;11890;1983;2225;0,07101; 0,57 ; 1,17 ; 31,85 ;126300;154,5;670
09.04.2015;72;51,8;148,1;2707,8;258,55;465,5;297,95;164,5; 36,84 ; 45,20 ;9740;612,6;70,05; 15,05 ;252; 35,10 ; 0,06 ;72,3;1025;65,5;11744;1955;2300;0,068; 0,55 ; 1,15 ; 32,40 ;119560;153,1;659
10.04.2015;71,5;51,97;148;2634,9;256,95;463,6;297,2;161,9; 35,99 ; 44,18 ;9936;607;69,87; 14,46 ;248; 38,00 ; 0,06 ;73,5;1035;65,2;11711;1899;2250;0,06505; 0,54 ; 1,11 ; 32,75 ;120490;151,5;649
13.04.2015;74,1;53,5;148,8;2617;255,5;477,2;303;165; 36,80 ; 44,00 ;9839;604,5;71,48; 15,25 ;253,1; 37,13 ; 0,06 ;74,5;1059,5;62,02;12300;1930;2300;0,06687; 0,59 ; 1,08 ; 33,50 ;124400;152,3;648
14.04.2015;74,05;53,95;144,4;2559;249,5;462,9;301;164,3; 36,95 ; 43,00 ;9520;590;67,985; 14,90 ;253,5; 37,70 ; 0,06 ;73,4;1045;64,5;11801;1921;2227;0,0646; 0,58 ; 1,08 ; 34,80 ;121940;149,2;640
15.04.2015;76,49;54,41;150,1;2595;254,4;480,7;303,05;166; 37,25 ; 42,49 ;9632;580,95;67,59; 14,26 ;263; 38,50 ; 0,06 ;73,3;1090;63,84;11870;1900;2200;0,06524; 0,58 ; 1,16 ; 35,55 ;122490;149,7;659
16.04.2015;76,5;54,5;152,4;2580;259,25;493;313;168; 39,00 ; 42,45 ;9480;566,55;65,39; 13,72 ;263,7; 39,16 ; 0,06 ;76;1120,5;64,85;11600;1955;2128;0,06473; 0,60 ; 1,15 ; 36,80 ;122640;147,4;629
17.04.2015;72,5;50,11;149,3;2576;256;504,8;292,2;164; 37,50 ; 41,00 ;9460;563;68; 13,91 ;257; 38,28 ; 0,06 ;73,6;1143;63,8;11520;2021;2145;0,06447; 0,57 ; 1,15 ; 35,40 ;118150;147,9;613
20.04.2015;73,5;49,29;153,96;2670;260,5;507;301,2;166; 37,40 ; 41,65 ;9590;564,95;67,6; 15,00 ;252,9; 37,75 ; 0,06 ;75,59;1175;66,33;11664;2065;2280;0,0651; 0,57 ; 1,15 ; 35,50 ;123250;146,8;575
21.04.2015;75,24;50,69;155,35;2728,2;259,7;523,3;304,5;165,8; 37,21 ; 41,46 ;9700;569;70,9; 15,49 ;255,15; 37,72 ; 0,06 ;76,1;1220;67,62;12207;2127;2339;0,06605; 0,59 ; 1,15 ; 36,45 ;124470;148,1;606
22.04.2015;73,9;49,47;150,8;2639,5;252,4;505,1;295,85;165,8; 36,46 ; 41,00 ;9600;572,6;69,73; 15,20 ;252,4; 38,99 ; 0,06 ;75,8;1316;67,8;12135;2154;2290;0,064; 0,58 ; 1,16 ; 35,25 ;121000;146,8;620
23.04.2015;75,8;50,44;150,15;2592;249,1;499,6;304,45;165,4; 35,60 ; 39,30 ;9530;548,7;68,01; 15,00 ;253,25; 38,65 ; 0,06 ;74,01;1270,5;65,85;11900;2102;2219;0,06458; 0,57 ; 1,14 ; 35,30 ;117800;144,2;616
24.04.2015;75,75;50,88;153,89;2645;258,2;498,9;297;165,3; 36,80 ; 39,79 ;9719;550;67,54; 14,60 ;255,15; 39,20 ; 0,06 ;75,2;1324,5;66,25;11824;2119;2225;0,06482; 0,59 ; 1,15 ; 35,60 ;118990;145,2;612
27.04.2015;75,2;51,22;152,05;2662;256;496,4;306,8;169,6; 36,21 ; 39,63 ;9665;565,1;68,97; 15,00 ;257,8; 39,33 ; 0,06 ;76,65;1400;67,14;11577;2111;2251;0,0659; 0,57 ; 1,18 ; 35,40 ;119320;145,6;611
28.04.2015;75,7;50,39;152,79;2644,9;256,55;495,4;309,9;167,9; 36,40 ; 39,38 ;9673;575,3;67,86; 14,84 ;261; 39,00 ; 0,06 ;74,35;1501,5;67,72;11350;2069;2246;0,06462; 0,58 ; 1,20 ; 38,20 ;121000;144,5;609
29.04.2015;75,2;49,71;152,5;2610;255;499;296,75;167,2; 36,51 ; 39,27 ;9552;570,6;68; 14,64 ;258; 39,50 ; 0,06 ;74,03;1515;67,8;11458;2018;2240;0,0645; 0,58 ; 1,19 ; 37,50 ;120550;142,9;609
30.04.2015;76,9;50;153,5;2645,6;256,5;494;292,35;167; 38,40 ; 38,85 ;9640;578,55;68,28; 15,12 ;265; 38,15 ; 0,07 ;77;1545;68,39;11280;2039;2262;0,071; 0,60 ; 1,21 ; 36,95 ;121320;145,7;613
05.05.2015;80,21;52;156,33;2655;261,5;501;303,75;166,5; 38,39 ; 41,36 ;10170;576,5;68,4; 15,10 ;267,25; 40,20 ; 0,07 ;79,4;1587,5;71,75;11038;2002;2274;0,0699; 0,63 ; 1,24 ; 37,50 ;126650;145,3;619
06.05.2015;79,2;52,28;155,25;2660;259,9;490,6;309,9;166,5; 37,35 ; 41,59 ;10500;571,8;67,76; 14,68 ;262,55; 40,41 ; 0,07 ;78,8;1610;69,5;11083;1980;2349;0,0678; 0,62 ; 1,22 ; 37,70 ;124250;143,5;616
07.05.2015;76,5;50,72;152,1;2650,5;255,25;490;301,3;165,5; 36,50 ; 41,00 ;10201;583;68,78; 14,75 ;260; 40,02 ; 0,07 ;76;1665,5;69;11090;1939;2311;0,06802; 0,61 ; 1,22 ; 38,30 ;119100;142,8;611
08.05.2015;75,5;50,79;155,52;2691,6;259,45;502,7;303,25;166,5; 36,45 ; 40,90 ;10540;589,8;69; 14,67 ;264,85; 40,70 ; 0,07 ;73,49;1691;68,13;11295;2003;2336;0,06748; 0,61 ; 1,23 ; 38,60 ;123570;143,3;612
12.05.2015;75,19;49,43;154,2;2698,6;258,35;502,7;308,85;166,5; 35,44 ; 37,48 ;10680;617;72,69; 15,00 ;266,3; 40,50 ; 0,07 ;74,5;1590;69,15;11220;2020;2300;0,06654; 0,62 ; 1,27 ; 38,45 ;124710;144,2;613
13.05.2015;75,24;50;151,74;2620;252,45;501,4;303,2;166; 35,13 ; 38,11 ;10435;595,7;70,01; 14,51 ;271; 41,49 ; 0,07 ;73,5;1605,5;69;11100;1981;2284;0,06578; 0,61 ; 1,24 ; 37,70 ;122010;139,8;609
14.05.2015;74,31;50,3;151,8;2610,1;255,7;500,9;298,55;163,2; 35,00 ; 38,01 ;10245;620,3;71,88; 14,71 ;268,7; 41,09 ; 0,07 ;71,4;1585;66,49;11240;1995;2274;0,06673; 0,62 ; 1,25 ; 37,35 ;120230;140,6;610
15.05.2015;75,05;50,36;152,98;2595;257,45;504,1;296,7;163,9; 35,94 ; 39,10 ;10288;621,7;72,1; 15,35 ;269,05; 40,61 ; 0,07 ;72,25;1600;66,7;11372;2005;2257;0,0678; 0,61 ; 1,23 ; 38,40 ;124900;141;610
18.05.2015;75,36;50,45;151,9;2550;256,1;502;293,75;162,2; 35,35 ; 39,45 ;10248;605,2;70,8; 15,06 ;267,65; 40,52 ; 0,07 ;73,54;1613,5;66,4;11042;1960;2234;0,06685; 0,61 ; 1,20 ; 39,10 ;120010;141,3;616
19.05.2015;73,35;49,68;149,85;2530;252,25;495,5;294,95;160,9; 34,40 ; 39,45 ;10039;603,9;69,7; 14,82 ;260; 39,90 ; 0,07 ;72,63;1621,5;66,45;10986;1997;2230;0,0655; 0,59 ; 1,17 ; 38,80 ;117620;139,7;620
20.05.2015;71,6;48,95;146,35;2481,1;245,9;494,7;294,15;160,6; 33,35 ; 38,50 ;10180;596,6;68,86; 15,02 ;252,65; 38,85 ; 0,07 ;73,18;1637;65,34;10940;1969;2255;0,06721; 0,60 ; 1,17 ; 40,35 ;117570;140,3;612
21.05.2015;73,25;49,66;147,16;2523;245,65;508,6;297,85;160,7; 35,00 ; 39,20 ;10210;615,1;72,1; 14,95 ;251; 39,28 ; 0,08 ;74,82;1612;66,6;11035;1974;2259;0,06719; 0,59 ; 1,17 ; 40,35 ;117570;140;613
22.05.2015;74,35;49,3;148,8;2537;249,9;512,4;302,6;160,9; 34,60 ; 38,94 ;9534;617,6;73,67; 14,68 ;252,5; 41,20 ; 0,08 ;75,15;1612;67;11020;1975;2262;0,06682; 0,58 ; 1,20 ; 40,70 ;119430;140,1;610
25.05.2015;74,46;49,05;146,69;2502,2;244,6;506,8;297,3;158,1; 33,85 ; 38,99 ;9515;613,8;73,21; 14,99 ;254; 41,10 ; 0,08 ;75,47;1607,5;67,16;10910;1964;2267;0,0671; 0,58 ; 1,23 ; 40,50 ;117950;139,6;610
26.05.2015;74,67;48,97;145,25;2508;245,15;515,7;292;156,9; 33,50 ; 39,16 ;9250;617,2;72,13; 14,58 ;249,4; 40,23 ; 0,08 ;74,3;1606,5;65,7;10813;1997;2247;0,06529; 0,58 ; 1,24 ; 40,70 ;119900;141;612
27.05.2015;74,23;47,8;147,66;2541,8;247,5;524,4;297;158,3; 32,80 ; 39,56 ;9380;630,9;72,8; 14,88 ;244,5; 40,40 ; 0,08 ;72,89;1601,5;66,53;10653;2015;2265;0,0664; 0,58 ; 1,26 ; 41,10 ;123000;140;618
28.05.2015;73,6;47,54;146,11;2563,8;245,8;528,5;300,8;160,1; 32,61 ; 39,41 ;9397;629,2;74,68; 14,82 ;246,85; 40,75 ; 0,08 ;71,23;1591,5;68,74;10655;2042;2285;0,06668; 0,57 ; 1,27 ; 41,00 ;124300;139,7;616
29.05.2015;73,5;48,25;139;2461,3;234;522,5;280,2;155; 31,00 ; 37,20 ;9005;608,4;73; 14,71 ;243; 41,10 ; 0,08 ;72;1575;63,25;10510;2001;2216;0,06508; 0,59 ; 1,25 ; 39,85 ;123450;137,8;616
